District,Location,Latitude,Longitude,Lithology,Aquifer_Type,Expected_WBZ_Depth_m,Water_Level_m,Expected_Discharge_LPM,pH,EC_uS_cm,Hardness_mg_L,Nitrate_mg_L,Fluoride_mg_L,Recommended_Drilling,Well_Suitability,Expected_Water_Quality
Kadapa,Site-0939,16.9438,81.8711,Granite,Fractured,140,16.32,219,6.7,1231,696,30,1.86,Down-the-Hole,Suitable,Good
Nellore,Site-0940,17.1783,83.5426,Shale,Confined,43,15.3,371,7.64,1566,381,25,0.51,Percussion Drilling,Suitable,Good
Anantapur,Site-0941,17.3946,78.371,Basalt,Confined,97,7.31,81,7.82,662,733,18,0.26,Percussion Drilling,Not Suitable,Moderate
Guntur,Site-0942,18.0085,80.0228,Alluvium,Unconfined,111,10.53,53,6.84,271,645,23,1.43,Auger Drilling,Not Suitable,Good
Chittoor,Site-0943,17.5865,78.4825,Basalt,Fractured,85,9.82,408,8.13,745,632,92,1.2,Down-the-Hole,Not Suitable,Moderate
Kadapa,Site-0944,17.9727,81.1599,Alluvium,Confined,259,9.65,362,8.17,1111,385,41,0.67,Percussion Drilling,Not Suitable,Poor
Anantapur,Site-0945,14.1776,79.0687,Limestone,Fractured,76,17.75,109,8.09,459,155,30,1.53,Rotary Drilling,Not Suitable,Poor
Krishna,Site-0946,15.3676,81.5476,Alluvium,Confined,57,11.32,325,8.25,1836,229,31,1.83,Rotary Drilling,Not Suitable,Good
East Godavari,Site-0947,16.3137,79.3738,Limestone,Unconfined,162,6.7,331,6.77,565,145,55,1.08,Percussion Drilling,Not Suitable,Good
Kurnool,Site-0948,17.1927,77.6257,Basalt,Fractured,66,9.6,374,7.59,1710,429,59,0.5,Down-the-Hole,Not Suitable,Moderate
Anantapur,Site-0949,13.1986,77.0807,Granite,Unconfined,45,3.51,134,8.02,1854,752,75,0.35,Percussion Drilling,Not Suitable,Moderate
Chittoor,Site-0950,15.6339,83.2601,Alluvium,Semi-confined,59,16.17,433,8.44,252,253,46,0.76,Rotary Drilling,Not Suitable,Poor
Guntur,Site-0951,17.5152,78.8256,Granite,Confined,274,7.17,317,8.32,356,254,23,1.68,Down-the-Hole,Not Suitable,Poor
West Godavari,Site-0952,17.7299,79.1988,Shale,Unconfined,289,9.82,63,6.59,300,102,85,0.67,Percussion Drilling,Not Suitable,Moderate
Prakasam,Site-0953,16.82,77.6208,Alluvium,Semi-confined,106,9.29,338,6.75,1045,252,35,1.12,Down-the-Hole,Suitable,Moderate
Anantapur,Site-0954,15.1973,82.751,Limestone,Fractured,51,11.95,70,7.75,308,516,27,0.63,Auger Drilling,Not Suitable,Poor
Prakasam,Site-0955,17.7191,77.119,Limestone,Confined,94,3.16,187,8.1,450,501,33,1.7,Rotary Drilling,Not Suitable,Poor
East Godavari,Site-0956,17.431,78.8313,Alluvium,Semi-confined,120,11.85,292,7.5,709,628,25,0.88,Percussion Drilling,Suitable,Poor
Chittoor,Site-0957,15.3983,78.6956,Alluvium,Unconfined,102,14.54,366,7.86,1686,274,67,1.23,Down-the-Hole,Not Suitable,Moderate
Guntur,Site-0958,13.9516,78.699,Shale,Confined,218,15.0,482,7.56,638,206,40,1.93,Down-the-Hole,Suitable,Good
Krishna,Site-0959,18.2407,82.7543,Sandstone,Fractured,110,8.38,434,7.25,795,143,24,0.93,Percussion Drilling,Suitable,Poor
Prakasam,Site-0960,15.0396,81.7823,Sandstone,Confined,41,14.04,290,7.25,1042,386,38,1.12,Rotary Drilling,Suitable,Good
Chittoor,Site-0961,15.2102,80.8926,Limestone,Confined,171,7.97,118,7.43,1903,163,87,1.44,Rotary Drilling,Not Suitable,Moderate
Anantapur,Site-0962,18.9588,79.0396,Basalt,Confined,136,19.46,471,7.21,1896,638,33,1.26,Rotary Drilling,Suitable,Moderate
Kurnool,Site-0963,17.8402,82.6416,Granite,Unconfined,262,11.47,419,8.26,453,657,7,1.29,Percussion Drilling,Not Suitable,Good
West Godavari,Site-0964,13.5485,81.7515,Shale,Confined,98,9.29,215,8.5,280,516,5,1.5,Rotary Drilling,Not Suitable,Poor
East Godavari,Site-0965,15.98,83.7319,Shale,Unconfined,266,19.29,489,7.31,1331,637,2,0.22,Percussion Drilling,Suitable,Good
Anantapur,Site-0966,18.9836,77.2058,Granite,Semi-confined,242,4.02,115,8.18,1272,113,32,1.44,Down-the-Hole,Not Suitable,Moderate
Krishna,Site-0967,14.5833,78.9855,Limestone,Unconfined,242,18.5,367,7.86,1002,476,79,1.63,Percussion Drilling,Not Suitable,Good
Chittoor,Site-0968,14.8674,77.4964,Granite,Semi-confined,85,11.71,165,6.96,1285,588,44,1.71,Percussion Drilling,Suitable,Moderate
Kurnool,Site-0969,14.0236,82.0607,Basalt,Confined,67,6.32,190,7.17,1056,178,12,0.66,Rotary Drilling,Suitable,Poor
Guntur,Site-0970,13.7803,80.7527,Alluvium,Unconfined,217,13.35,448,8.08,686,604,51,0.97,Rotary Drilling,Not Suitable,Poor
Chittoor,Site-0971,13.6991,77.9015,Granite,Unconfined,128,17.75,78,7.54,616,469,50,0.92,Rotary Drilling,Not Suitable,Good
Nellore,Site-0972,13.924,80.1894,Sandstone,Confined,81,19.15,443,6.94,897,464,7,1.67,Percussion Drilling,Suitable,Moderate
West Godavari,Site-0973,13.6526,81.3846,Shale,Fractured,103,13.18,318,8.16,794,141,15,0.64,Rotary Drilling,Not Suitable,Poor
Krishna,Site-0974,17.6815,79.3983,Basalt,Fractured,300,4.46,73,6.92,1521,483,79,1.5,Rotary Drilling,Not Suitable,Good
Prakasam,Site-0975,15.7092,81.8578,Limestone,Unconfined,289,8.63,339,7.66,332,396,37,1.23,Rotary Drilling,Suitable,Poor
Krishna,Site-0976,18.9514,81.0803,Basalt,Fractured,245,15.8,343,8.12,1980,772,38,1.69,Auger Drilling,Not Suitable,Good
East Godavari,Site-0977,14.7733,80.7469,Sandstone,Fractured,157,4.64,339,6.71,243,612,40,1.23,Percussion Drilling,Suitable,Good
Kurnool,Site-0978,13.6501,82.8743,Basalt,Semi-confined,102,15.97,270,7.31,1346,156,53,1.32,Rotary Drilling,Not Suitable,Poor
Krishna,Site-0979,13.93,81.4817,Shale,Fractured,45,13.55,139,8.0,833,675,93,0.61,Percussion Drilling,Not Suitable,Moderate
West Godavari,Site-0980,18.4472,81.5513,Limestone,Confined,38,17.05,195,8.16,905,517,85,0.41,Percussion Drilling,Not Suitable,Poor
West Godavari,Site-0981,16.66,79.3894,Limestone,Confined,237,12.63,233,7.59,500,544,85,0.68,Auger Drilling,Not Suitable,Poor
Nellore,Site-0982,15.0683,81.4125,Basalt,Unconfined,276,16.56,100,7.84,1604,249,99,0.54,Down-the-Hole,Not Suitable,Poor
Prakasam,Site-0983,18.8828,82.253,Sandstone,Confined,166,9.18,126,6.98,1830,418,66,0.69,Rotary Drilling,Not Suitable,Good
Kadapa,Site-0984,15.8705,78.5661,Granite,Fractured,230,18.33,249,6.63,312,219,98,0.9,Percussion Drilling,Not Suitable,Good
Chittoor,Site-0985,17.0099,82.7002,Sandstone,Unconfined,54,19.02,242,7.56,1453,763,36,0.34,Rotary Drilling,Suitable,Poor
Prakasam,Site-0986,13.3259,79.8545,Basalt,Confined,256,13.56,371,6.79,1694,477,29,1.35,Down-the-Hole,Suitable,Good
Krishna,Site-0987,15.6439,81.1918,Shale,Confined,59,14.86,279,8.27,1686,512,98,1.75,Percussion Drilling,Not Suitable,Poor
Kadapa,Site-0988,15.0673,80.8883,Granite,Fractured,272,18.61,74,8.46,1357,716,9,1.58,Down-the-Hole,Not Suitable,Good
Nellore,Site-0989,18.6194,81.7224,Sandstone,Unconfined,129,5.57,282,6.96,471,421,46,1.49,Percussion Drilling,Suitable,Good
Prakasam,Site-0990,18.4949,79.8092,Shale,Unconfined,267,2.19,484,8.49,536,794,14,0.34,Percussion Drilling,Not Suitable,Good
Nellore,Site-0991,13.6757,82.2524,Basalt,Semi-confined,97,10.42,329,7.65,906,485,16,0.54,Auger Drilling,Suitable,Good
East Godavari,Site-0992,14.7804,78.8522,Granite,Confined,195,2.86,492,7.29,1245,144,13,0.98,Down-the-Hole,Suitable,Good
Kurnool,Site-0993,15.7104,81.7743,Granite,Fractured,270,11.62,122,8.31,1717,611,86,1.12,Percussion Drilling,Not Suitable,Good
Anantapur,Site-0994,18.0037,81.4734,Shale,Confined,82,13.31,183,7.54,1059,275,74,1.18,Auger Drilling,Not Suitable,Poor
West Godavari,Site-0995,15.6276,82.3051,Basalt,Confined,88,17.27,140,7.59,852,518,4,0.81,Auger Drilling,Suitable,Poor
Anantapur,Site-0996,15.957,81.9197,Limestone,Fractured,236,14.25,110,7.41,1633,162,52,1.75,Auger Drilling,Not Suitable,Good
Nellore,Site-0997,16.1097,82.6532,Granite,Semi-confined,31,8.77,123,6.67,1921,275,24,0.6,Down-the-Hole,Suitable,Moderate
Kadapa,Site-0998,13.5171,79.7535,Alluvium,Semi-confined,37,15.99,326,8.48,414,371,52,1.22,Rotary Drilling,Not Suitable,Poor
Kadapa,Site-0999,13.4365,80.9943,Sandstone,Fractured,263,15.59,70,7.62,1294,798,35,0.62,Down-the-Hole,Not Suitable,Poor
Anantapur,Site-1000,18.7185,77.8881,Granite,Semi-confined,47,19.13,404,7.96,1556,655,56,1.96,Down-the-Hole,Not Suitable,Poor
